Date : 2025-04-16 13:29:42
Directory : c:\Github\OOP_lab1
Total : 151 files,  13329 codes, 1982 comments, 3742 blanks, all 19053 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Github\OOP_lab1\src\commands\edit\delete_command.py                     | Python           |         52 |          9 |         16 |         77 |
| c:\Github\OOP_lab1\src\commands\edit\edit_id_command.py                    | Python           |         62 |          9 |         15 |         86 |
| c:\Github\OOP_lab1\src\commands\edit\edit_text_command.py                  | Python           |         44 |          0 |          9 |         53 |
| c:\Github\OOP_lab1\src\commands\edit\insert_command.py                     | Python           |         77 |         17 |         23 |        117 |
| c:\Github\OOP_lab1\src\commands\io\__init__.py                             | Python           |          9 |          0 |          3 |         12 |
| c:\Github\OOP_lab1\src\commands\io\exit_command.py                         | Python           |         35 |          1 |          9 |         45 |
| c:\Github\OOP_lab1\src\commands\io\help_command.py                         | Python           |         72 |          4 |         14 |         90 |
| c:\Github\OOP_lab1\src\commands\io\init.py                                 | Python           |         27 |          2 |          4 |         33 |
| c:\Github\OOP_lab1\src\commands\io\read.py                                 | Python           |         46 |          7 |         13 |         66 |
| c:\Github\OOP_lab1\src\commands\io\save.py                                 | Python           |         78 |         16 |         20 |        114 |
| c:\Github\OOP_lab1\src\commands\observer.py                                | Python           |         27 |          0 |          8 |         35 |
| c:\Github\OOP_lab1\src\core\__init__.py                                    | Python           |          3 |          0 |          0 |          3 |
| c:\Github\OOP_lab1\src\core\element.py                                     | Python           |        102 |          8 |         29 |        139 |
| c:\Github\OOP_lab1\src\core\exceptions.py                                  | Python           |         29 |          0 |          8 |         37 |
| c:\Github\OOP_lab1\src\core\html_model.py                                  | Python           |        133 |         23 |         39 |        195 |
| c:\Github\OOP_lab1\src\io\__init__.py                                      | Python           |          3 |          1 |          1 |          5 |
| c:\Github\OOP_lab1\src\io\parser.py                                        | Python           |        145 |         29 |         40 |        214 |
| c:\Github\OOP_lab1\src\io\writer.py                                        | Python           |         77 |         18 |         29 |        124 |
| c:\Github\OOP_lab1\src\session\editor.py                                   | Python           |         51 |          2 |          9 |         62 |
| c:\Github\OOP_lab1\src\session\session_manager.py                          | Python           |        241 |         29 |         58 |        328 |
| c:\Github\OOP_lab1\src\session\state\__init__.py                           | Python           |          0 |          1 |          1 |          2 |
| c:\Github\OOP_lab1\src\session\state\session_state.py                      | Python           |         69 |          2 |         16 |         87 |
| c:\Github\OOP_lab1\src\spellcheck\__init__.py                              | Python           |          0 |          2 |          1 |          3 |
| c:\Github\OOP_lab1\src\spellcheck\adapters\__init__.py                     | Python           |          3 |          0 |          0 |          3 |
| c:\Github\OOP_lab1\src\spellcheck\adapters\language_tool.py                | Python           |         34 |         11 |          8 |         53 |
| c:\Github\OOP_lab1\src\spellcheck\checker.py                               | Python           |        151 |         18 |         41 |        210 |
| c:\Github\OOP_lab1\src\utils\html_utils.py                                 | Python           |         43 |          6 |         11 |         60 |
| c:\Github\OOP_lab1\src\utils\imports.py                                    | Python           |         22 |          5 |          6 |         33 |
| c:\Github\OOP_lab1\src\utils\validator.py                                  | Python           |         15 |         11 |          4 |         30 |
| c:\Github\OOP_lab1\structure.md                                            | Markdown         |        142 |          0 |         59 |        201 |
| c:\Github\OOP_lab1\test.html                                               | HTML             |          4 |          0 |          1 |          5 |
| c:\Github\OOP_lab1\tests\__init__.py                                       | Python           |          0 |          2 |          1 |          3 |
| c:\Github\OOP_lab1\tests\application\__init__.py                           | Python           |          0 |          0 |          1 |          1 |
| c:\Github\OOP_lab1\tests\application\test_command_parser.py                | Python           |          0 |          0 |          1 |          1 |
| c:\Github\OOP_lab1\tests\application\test_command_parser_coverage.py       | Python           |        115 |         25 |         26 |        166 |
| c:\Github\OOP_lab1\tests\application\test_main.py                          | Python           |        349 |         55 |        108 |        512 |
| c:\Github\OOP_lab1\tests\commands\__init__.py                              | Python           |          0 |          0 |          1 |          1 |
| c:\Github\OOP_lab1\tests\commands\display\test_base.py                     | Python           |         48 |          6 |         15 |         69 |
| c:\Github\OOP_lab1\tests\commands\display\test_dir_tree_command.py         | Python           |        161 |         37 |         55 |        253 |
| c:\Github\OOP_lab1\tests\commands\display\test_print_tree_command.py       | Python           |        405 |         65 |         89 |        559 |
| c:\Github\OOP_lab1\tests\commands\display\test_spell_check_command.py      | Python           |        199 |         41 |         61 |        301 |
| c:\Github\OOP_lab1\tests\commands\display\test_spell_check_injection.py    | Python           |        101 |         27 |         37 |        165 |
| c:\Github\OOP_lab1\tests\commands\do\test_command_history.py               | Python           |        147 |         10 |         44 |        201 |
| c:\Github\OOP_lab1\tests\commands\do\test_processor_history_integration.py | Python           |         81 |         15 |         25 |        121 |
| c:\Github\OOP_lab1\tests\commands\do\test_redo.py                          | Python           |        234 |         69 |         82 |        385 |
| c:\Github\OOP_lab1\tests\commands\do\test_redo_advanced.py                 | Python           |        121 |         26 |         43 |        190 |
| c:\Github\OOP_lab1\tests\commands\do\test_undo.py                          | Python           |        220 |         62 |         77 |        359 |
| c:\Github\OOP_lab1\tests\commands\do\test_undoredo.py                      | Python           |         73 |         16 |         28 |        117 |
| c:\Github\OOP_lab1\tests\commands\do\test_undoredo_commands.py             | Python           |        132 |         32 |         41 |        205 |
| c:\Github\OOP_lab1\tests\commands\edit\__init__.py                         | Python           |          0 |          2 |          0 |          2 |
| c:\Github\OOP_lab1\tests\commands\edit\conftest.py                         | Python           |          9 |          1 |          2 |         12 |
| c:\Github\OOP_lab1\tests\commands\edit\test_append_command.py              | Python           |         80 |         18 |         26 |        124 |
| c:\Github\OOP_lab1\tests\commands\edit\test_delete_command.py              | Python           |         97 |         26 |         27 |        150 |
| c:\Github\OOP_lab1\tests\commands\edit\test_edit_id_command.py             | Python           |        116 |         25 |         35 |        176 |
| c:\Github\OOP_lab1\tests\commands\edit\test_edit_text_command.py           | Python           |        121 |         31 |         43 |        195 |
| c:\Github\OOP_lab1\tests\commands\edit\test_insert_command.py              | Python           |         57 |          9 |         17 |         83 |
| c:\Github\OOP_lab1\tests\commands\file\test_read_command.py                | Python           |          0 |          0 |          1 |          1 |
| c:\Github\OOP_lab1\tests\commands\io\__init__.py                           | Python           |          0 |          0 |          1 |          1 |
| c:\Github\OOP_lab1\tests\commands\io\test_exit_command.py                  | Python           |         61 |          9 |         23 |         93 |
| c:\Github\OOP_lab1\tests\commands\io\test_help_command.py                  | Python           |         91 |         11 |         23 |        125 |
| c:\Github\OOP_lab1\tests\commands\io\test_io_commands.py                   | Python           |          0 |          0 |          1 |          1 |
| c:\Github\OOP_lab1\tests\commands\io\test_save_command.py                  | Python           |          0 |          0 |          1 |          1 |
| c:\Github\OOP_lab1\tests\conftest.py                                       | Python           |         43 |         22 |         16 |         81 |
| c:\Github\OOP_lab1\tests\core\test_element.py                              | Python           |        190 |         13 |         59 |        262 |
| c:\Github\OOP_lab1\tests\core\test_html_model.py                           | Python           |        220 |         51 |         86 |        357 |
| c:\Github\OOP_lab1\tests\core\test_html_model_comprehensive.py             | Python           |          0 |          0 |          1 |          1 |
| c:\Github\OOP_lab1\tests\core\test_parser.py                               | Python           |          0 |          0 |          1 |          1 |
| c:\Github\OOP_lab1\tests\html_utils\__init__.py                            | Python           |          0 |          1 |          1 |          2 |
| c:\Github\OOP_lab1\tests\html_utils\test_html_utils.py                     | Python           |          0 |          0 |          1 |          1 |
| c:\Github\OOP_lab1\tests\input\README.md                                   | Markdown         |         35 |          0 |          7 |         42 |
| c:\Github\OOP_lab1\tests\input\__init__.py                                 | Python           |          0 |          0 |          1 |          1 |
| c:\Github\OOP_lab1\tests\input\deep_nested.html                            | HTML             |         22 |          0 |          1 |         23 |
| c:\Github\OOP_lab1\tests\input\edit_commands.json                          | JSON             |         37 |          0 |          1 |         38 |
| c:\Github\OOP_lab1\tests\input\expected_result.html                        | HTML             |         17 |          0 |          1 |         18 |
| c:\Github\OOP_lab1\tests\input\mock_spell_check.html                       | HTML             |         18 |          0 |          1 |         19 |
| c:\Github\OOP_lab1\tests\input\sample.html                                 | HTML             |         17 |          0 |          0 |         17 |
| c:\Github\OOP_lab1\tests\input\sample_html.html                            | HTML             |         16 |          0 |          1 |         17 |
| c:\Github\OOP_lab1\tests\input\simple_tree.html                            | HTML             |         12 |          0 |          1 |         13 |
| c:\Github\OOP_lab1\tests\input\special_chars.html                          | HTML             |         14 |          0 |          1 |         15 |
| c:\Github\OOP_lab1\tests\input\spell_check.html                            | HTML             |         22 |          0 |          1 |         23 |
| c:\Github\OOP_lab1\tests\input\test.html                                   | HTML             |          4 |          0 |          1 |          5 |
| c:\Github\OOP_lab1\tests\integration\__init__.py                           | Python           |          0 |          0 |          1 |          1 |
| c:\Github\OOP_lab1\tests\integration\test_comprehensive.py                 | Python           |        237 |         65 |         80 |        382 |
| c:\Github\OOP_lab1\tests\integration\test_edge_cases.py                    | Python           |        194 |         56 |         58 |        308 |
| c:\Github\OOP_lab1\tests\integration\test_html_lifecycle.py                | Python           |          0 |          0 |          1 |          1 |
| c:\Github\OOP_lab1\tests\integration\test_integration.py                   | Python           |          0 |          0 |          1 |          1 |
| c:\Github\OOP_lab1\tests\integration\test_malformed_html.py                | Python           |         96 |         18 |         27 |        141 |
| c:\Github\OOP_lab1\tests\integration\test_performance.py                   | Python           |        114 |         28 |         35 |        177 |
| c:\Github\OOP_lab1\tests\integration\test_real_world_scenarios.py          | Python           |        100 |         23 |         30 |        153 |
| c:\Github\OOP_lab1\tests\io\__init__.py                                    | Python           |          0 |          2 |          1 |          3 |
| c:\Github\OOP_lab1\tests\io\test_init_command.py                           | Python           |         71 |         28 |         25 |        124 |
| c:\Github\OOP_lab1\tests\io\test_malformed_html.py                         | Python           |         89 |         13 |         21 |        123 |
| c:\Github\OOP_lab1\tests\io\test_parser_coverage.py                        | Python           |        261 |          8 |         51 |        320 |
| c:\Github\OOP_lab1\tests\io\test_read_command.py                           | Python           |        126 |         14 |         25 |        165 |
| c:\Github\OOP_lab1\tests\io\test_read_input_files.py                       | Python           |        279 |         58 |         69 |        406 |
| c:\Github\OOP_lab1\tests\io\test_save_command.py                           | Python           |        103 |         25 |         28 |        156 |
| c:\Github\OOP_lab1\tests\io\test_special_characters.py                     | Python           |         92 |         17 |         22 |        131 |
| c:\Github\OOP_lab1\tests\io\test_undoredo.py                               | Python           |        342 |         49 |        122 |        513 |
| c:\Github\OOP_lab1\tests\io\test_writer.py                                 | Python           |        139 |         33 |         41 |        213 |
| c:\Github\OOP_lab1\tests\mocks\application_mock.py                         | Python           |        104 |          6 |         24 |        134 |
| c:\Github\OOP_lab1\tests\session\test_main_session_persistence.py          | Python           |         50 |          9 |         13 |         72 |
| c:\Github\OOP_lab1\tests\session\test_session_comprehensive.py             | Python           |        298 |         93 |        108 |        499 |
| c:\Github\OOP_lab1\tests\session\test_session_integration.py               | Python           |          0 |          1 |          1 |          2 |
| c:\Github\OOP_lab1\tests\session\test_session_manager.py                   | Python           |          0 |          1 |          1 |          2 |
| c:\Github\OOP_lab1\tests\session\test_session_state.py                     | Python           |        133 |         37 |         46 |        216 |
| c:\Github\OOP_lab1\tests\spellcheck\test_reporters.py                      | Python           |          0 |          0 |          1 |          1 |
| c:\Github\OOP_lab1\tests\spellcheck\test_spellcheck.py                     | Python           |        102 |         14 |         33 |        149 |
| c:\Github\OOP_lab1\tests\stress\test_performance.py                        | Python           |        114 |         28 |         35 |        177 |
| c:\Github\OOP_lab1\tests\test_commands.py                                  | Python           |        107 |         20 |         32 |        159 |
| c:\Github\OOP_lab1\tests\test_display_enhancements.py                      | Python           |        138 |         32 |         49 |        219 |
| c:\Github\OOP_lab1\tests\test_io.py                                        | Python           |        193 |         39 |         54 |        286 |
| c:\Github\OOP_lab1\tests\test_model.py                                     | Python           |         94 |         24 |         26 |        144 |
| c:\Github\OOP_lab1\tests\test_run.py                                       | Python           |        299 |         31 |         42 |        372 |
| c:\Github\OOP_lab1\tests\test_run_coverage.py                              | Python           |        353 |         72 |        112 |        537 |
| c:\Github\OOP_lab1\tests\test_spellcheck.py                                | Python           |        176 |          7 |         33 |        216 |
| c:\Github\OOP_lab1\tests\test_system_integration.py                        | Python           |        224 |         51 |         56 |        331 |
| c:\Github\OOP_lab1\tests\utils\test_html_utils.py                          | Python           |         58 |          1 |          5 |         64 |
| c:\Github\OOP_lab1\tests\utils\test_imports.py                             | Python           |         23 |          6 |          7 |         36 |
| Total                                                                      |                  |     13,329 |      1,982 |      3,742 |     19,053 |
+----------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
