"filename", "language", "pip requirements", "HTML", "Python", "Ini", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\base.py", "Python", 0, 0, 99, 0, 0, 0, 13, 28, 140
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\command_exceptions.py", "Python", 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\display\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\display\base.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\display\dir_tree.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\display\print_tree.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\display\spell_check.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\display_commands.py", "Python", 0, 0, 170, 0, 0, 0, 33, 51, 254
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\edit\__init__.py", "Python", 0, 0, 12, 0, 0, 0, 0, 1, 13
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\edit\append_command.py", "Python", 0, 0, 56, 0, 0, 0, 10, 17, 83
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\edit\delete_command.py", "Python", 0, 0, 52, 0, 0, 0, 9, 16, 77
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\edit\edit_id_command.py", "Python", 0, 0, 62, 0, 0, 0, 9, 15, 86
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\edit\edit_text_command.py", "Python", 0, 0, 44, 0, 0, 0, 0, 9, 53
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\edit\insert_command.py", "Python", 0, 0, 77, 0, 0, 0, 17, 23, 117
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\io\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\io\init.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\io\read.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\io\save.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\io_commands.py", "Python", 0, 0, 139, 0, 0, 0, 23, 38, 200
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\observer.py", "Python", 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\core\__init__.py", "Python", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\core\element.py", "Python", 0, 0, 61, 0, 0, 0, 7, 17, 85
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\core\exceptions.py", "Python", 0, 0, 29, 0, 0, 0, 0, 8, 37
