Date : 2025-03-28 23:07:18
Directory : c:\Users\xy\Documents\GitHub\OOP_lab1
Total : 119 files,  7847 codes, 1319 comments, 2238 blanks, all 11404 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\edit\__init__.py                      | Python           |         12 |          0 |          1 |         13 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\edit\append_command.py                | Python           |         56 |         10 |         17 |         83 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\edit\delete_command.py                | Python           |         52 |          9 |         16 |         77 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\edit\edit_id_command.py               | Python           |         62 |          9 |         15 |         86 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\edit\edit_text_command.py             | Python           |         44 |          0 |          9 |         53 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\edit\insert_command.py                | Python           |         77 |         17 |         23 |        117 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\io\__init__.py                        | Python           |          0 |          0 |          1 |          1 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\io\init.py                            | Python           |          0 |          0 |          1 |          1 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\io\read.py                            | Python           |          0 |          0 |          1 |          1 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\io\save.py                            | Python           |          0 |          0 |          1 |          1 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\io_commands.py                        | Python           |        139 |         23 |         38 |        200 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\observer.py                           | Python           |         12 |          0 |          4 |         16 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\core\__init__.py                               | Python           |          3 |          0 |          0 |          3 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\core\element.py                                | Python           |         61 |          7 |         17 |         85 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\core\exceptions.py                             | Python           |         29 |          0 |          8 |         37 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\core\html_element.py                           | Python           |          0 |          0 |          1 |          1 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\core\html_model.py                             | Python           |        128 |         21 |         38 |        187 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\core\html_writer.py                            | Python           |          0 |          0 |          1 |          1 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\core\parser.py                                 | Python           |         75 |         18 |         24 |        117 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\io\__init__.py                                 | Python           |          3 |          1 |          1 |          5 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\io\html_writer.py                              | Python           |          0 |          0 |          1 |          1 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\io\parser.py                                   | Python           |        160 |         39 |         52 |        251 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\io\writer.py                                   | Python           |         73 |         12 |         22 |        107 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\main.py                                        | Python           |        132 |          9 |         37 |        178 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\session_manager.py                             | Python           |        241 |         29 |         58 |        328 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\spellcheck\__init__.py                         | Python           |          0 |          2 |          1 |          3 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\spellcheck\adapters\__init__.py                | Python           |          3 |          0 |          0 |          3 |
